Pair ID,Class 1,Term 1,Similarity,Class 2,Term 2,Term 1 Expand,Term 2 Expand
0040978-0043040,7,incubators for eggs,Dissimilar,7,tables for machines,Agricultural incubators for hatching eggs,Supporting tables for machines
0059481-0046642,30,pastries,High similar,30,waffles,Baked pastries,Baked waffles
0046167-0039222,30,chocolate,Dissimilar,31,seedlings,"Edible food product made from cacao, namely chocolate",Live seedlings for planting
0037730-0027638,19,"monuments, not of metal",Dissimilar,19,"non-luminous and non-mechanical signs, not of metal",Non-metallic monuments for commemorative purposes,"Non-luminous and non-mechanical signs, not of metal"
0020067-0071842,5,formic aldehyde for pharmaceutical purposes,Identical,5,pharmaceuticals,Formic aldehyde for use in pharmaceutical preparations,Medicinal substances and drugs (pharmaceuticals)
0041416-0030637,9,calculators,Dissimilar,9,surveying apparatus and instruments,Electronic calculating devices,Scientific apparatus and instruments for surveying
0048109-0000857,12,apparatus for locomotion by air,Dissimilar,12,railway couplings,Vehicles and apparatus for locomotion by air,Mechanical couplings for railway vehicles
0058666-0024907,11,lighting apparatus,Dissimilar,19,"floors, not of metal",Electrical apparatus for producing and emitting light,Non-metallic flooring materials for building construction
0057904-0059191,22,ropes,Dissimilar,22,"slings, not of metal, for handling loads","Cordage, namely, ropes",Non-metallic textile slings for lifting and handling loads
0047518-0008309,45,legal services,Identical,45,legal information services,"Professional services, namely, legal services",Legal information provision services
0057172-0007836,35,business management,Dissimilar,41,entertainment services,Business management services,"Providing entertainment, amusement, and recreation services to the public."
0012514-0046721,39,transport,Identical,39,freight forwarding,Transportation services,Freight forwarding services
0058093-0058092,18,trunks and suitcases,Identical,18,trunks [luggage],Travel trunks and suitcases,"Luggage, namely, trunks"
GSCSup-0148896-GSCSup-0088786,41,publication of published and printed matter periodicals and books in electronic form including on intranets and the internet,Similar,41,providing online publications,"Electronic publishing services, namely, the publication of periodicals and books in electronic form, including on intranets and the internet",Service for providing online publications
0047734-0047804,9,"safety, security, protection and signalling devices",Dissimilar,11,"sanitary installations, water supply and sanitation equipment","Electronic and mechanical apparatus and instruments for safety, security, protection, and signalling","Installations, apparatus, and equipment for sanitary purposes, water supply, and sanitation"
0048125-0008098,30,preparations made from cereals,Identical,30,rice biscuits,Edible food preparations made from cereals,Baked rice biscuits
0043814-0018102,26,ribbons,Dissimilar,26,trouser clips for cyclists,"Ribbons, being narrow woven fabric strips for haberdashery and decorative purposes",Fastening clips for securing trouser legs for cyclists
0023769-0072797,29,meat extracts,Dissimilar,31,foodstuffs and fodder for animals,Meat extracts for food,Prepared foodstuffs and fodder for animal consumption
0046873-0002750,36,finance services,Identical,36,financial advisory services relating to assets management,General financial services for money and asset management,Financial advisory services specifically relating to the management of assets
0020242-0047100,16,cards,Similar,16,books,Printed paper or cardboard cards,Printed books containing textual or pictorial information
0039839-0018195,35,business management assistance,Similar,35,drawing up of statements of accounts,Business management assistance services for operational and administrative support,"Business administration services, namely, drawing up of financial statements of accounts for record-keeping and reporting"
0025734-0000406,12,vehicles,Similar,12,suspension shock absorbers for vehicles,"Apparatus for locomotion by land, air, or water, for conveying people or goods",Suspension shock absorbers for vehicles
0046364-0072771,25,clothing,Dissimilar,24,fabrics,Garments and articles of dress for covering the human body,Textile fabrics
0037696-0059192,9,wrist rests for use with computers,Low similar,9,data processing apparatus,"Ergonomic wrist rests, being computer peripheral accessories",Electronic apparatus for processing data
0025734-0057889,12,vehicles,Similar,12,luggage carriers for vehicles,"Apparatus for locomotion by land, air, or water, for conveying people or goods",Luggage carrying racks for vehicles
0057908-0007067,3,perfumes,Dissimilar,10,pillows for therapeutic use,"Fragrant liquid preparations, namely, perfumes","Medical articles, namely, pillows for therapeutic use"
0008236-0059451,10,veterinary apparatus and instruments,Dissimilar,5,fungicides,Apparatus and instruments specifically designed for veterinary medical and surgical purposes.,"Chemical preparations, namely, fungicides for agricultural and horticultural use"
GSCSup-0031306-GSCSup-0031346,6,drain valves of metal,Similar,6,flexible pipes and tubes of metal,Metal valves for drainage purposes,"Flexible conduits made of metal, namely, pipes and tubes"
0030997-0019852,9,data transmission cables,Similar,9,sound reproduction apparatus,Electrical cables for transmitting digital or analogue data between electronic devices,Electronic apparatus for the reproduction of sound
0030862-0024490,9,magnetic data media,Dissimilar,9,weighing apparatus and instruments,Blank magnetic data media for recording and storage,Weighing apparatus and instruments
0007875-0072418,29,pollen prepared as foodstuff,Dissimilar,29,compotes,Processed pollen for use as a foodstuff.,"Sweetened fruit preparations, namely, compotes"
0057582-0048105,7,"soldering apparatus, electric",Dissimilar,9,signalling apparatus and instruments,Electric power-operated apparatus for soldering,Scientific and technical apparatus and instruments for signalling
0022248-0047934,30,rice,Dissimilar,29,dairy products and dairy substitutes,"Cereal grain, namely, rice","Dairy products (e.g., milk, cheese, yogurt) and plant-based dairy substitutes for food purposes."
0010363-0022493,7,elevator operating apparatus,Dissimilar,9,coin-operated mechanisms,"Operating apparatus for elevators, being parts of machines",Mechanical components for actuating coin-operated apparatus
0043399-0070015,28,games,Similar,28,gyroscopes and flight stabilizers for model aircraft,"Games, being recreational playthings",Gyroscopes and flight stabilizers being parts for model aircraft
0012233-0015601,35,typing,Identical,35,secretarial and clerical services,"Typing services, being office functions for data entry and document transcription",Professional secretarial and clerical administrative services
0048096-0024490,9,apparatus and instruments for accumulating electricity,Dissimilar,9,weighing apparatus and instruments,Electrical apparatus and instruments for accumulating electricity,Weighing apparatus and instruments
0058757-0070242,1,fertilizers,Identical,1,seaweed extract for use as a growth stimulant on plants,Chemical or organic fertilizers for agricultural and horticultural use,Biological preparations in the form of seaweed extracts for use as plant growth stimulants
0030495-0043328,29,low fat cheese,Dissimilar,29,cranberry compote,Low-fat cheese for food consumption,Preserved cranberry compote
0048067-0040915,41,publishing and reporting,Identical,41,"publication of newspapers, periodicals, catalogs and brochures","Services for publishing and reporting, including news and literary works","Publishing services for newspapers, periodicals, catalogs, and brochures"
0057728-0029041,28,toy vehicles,Dissimilar,39,transport services,Miniature vehicle models for play,Services for the transport of goods and passengers
0057451-0023396,25,coats,Dissimilar,18,walking sticks,Coats [clothing],Mobility aids in the nature of walking sticks for providing support and assistance
0047666-0040409,5,dietary supplements and dietetic preparations,Dissimilar,29,edible oils and fats,Nutritional chemical preparations for dietary supplementation and dietetic purposes for humans and animals,Oils and fats for human consumption
0012268-0041981,30,gingerbread,Dissimilar,29,preserved vegetables,Baked confectionery in the nature of gingerbread,"Vegetables preserved by canning, freezing, drying or other methods for consumption"
0057677-0057457,18,harness for animals,Dissimilar,12,ski carriers for cars,Harness for animals,Ski carrying racks for cars
0021521-0044168,17,"plastic substances, semi-processed",Dissimilar,22,"padding materials, not of rubber, plastics, paper or cardboard",Semi-processed plastic substances for use in manufacture,"Padding, cushioning and stuffing materials, not of rubber, plastics, paper or cardboard"
0046472-0047515,29,"vegetables, cooked",Low similar,29,frozen fruits,Edible vegetable foodstuffs prepared by cooking,"Preserved food products, namely, frozen fruits"
0000547-0024490,9,spectacle cords,Dissimilar,9,weighing apparatus and instruments,Cords for retaining spectacles [lanyards],Weighing apparatus and instruments
0058525-0004722,14,jewellery,Low similar,14,key charms coated with precious metals,Decorative articles for personal adornment,"Key charms coated with precious metals, being articles of jewelry"
0057537-0030502,3,paint removing compositions,Dissimilar,3,cosmetics,Chemical compositions for removing paint,Non-medicated cosmetics for beauty and personal care
0040978-0015045,7,incubators for eggs,Dissimilar,7,heat exchangers [parts of machines],Agricultural incubators for hatching eggs,"Mechanical apparatus for heat exchange, being component parts of machines"
0047693-0047742,7,"sweeping, cleaning, washing and laundering machines",Dissimilar,9,recorded content,"Power-operated machines for sweeping, cleaning, washing, and laundering purposes",Recorded and downloadable content in digital media format
0031765-0048125,30,starch for food,Low similar,30,preparations made from cereals,"Starch, being an edible powder for food preparation",Edible food preparations made from cereals
0048121-0019537,26,pins,Dissimilar,26,sewing thimbles,Small fastening and decorative pins for haberdashery and hair,Small thimbles for use in sewing
0047733-0047829,9,"optical devices, enhancers and correctors",Dissimilar,16,paper and cardboard,Physical optical apparatus and instruments for enhancing and correcting images,Raw and semi-processed paper and cardboard materials
0047993-0024332,37,"rental of tools, plant and equipment for construction, demolition, cleaning and maintenance",Dissimilar,42,science and technology services,"Rental services for tools, plant, and equipment used in construction, demolition, cleaning, and maintenance.",Scientific and technology services
0058057-0058849,42,updating of computer software,Similar,9,software,Services for the updating of computer software,Downloadable and recorded computer software
0059030-0012583,29,black pudding,Dissimilar,29,jellies for food,Prepared meat product in the nature of blood sausage for human consumption,Edible fruit jellies for food
0042996-0045584,10,medical apparatus and instruments,Identical,10,medical implants,"Apparatus and instruments for surgical, medical, dental, and veterinary purposes",Medical implants for surgical use
0025751-0059193,9,scanners [data processing equipment],Identical,9,data processing equipment,Electronic scanners for data processing,Electronic equipment for processing data
0058800-0037142,24,bed throws,Dissimilar,8,cutlery,Decorative textile throws for beds [household linen],Hand-operated cutlery for eating
0025613-0007861,33,alcoholic beverages (except beer),Identical,33,cocktails,"Potable alcoholic beverages, excluding beer","Prepared alcoholic mixed beverages, namely, cocktails"
0014354-0006559,7,transmission components (except for land vehicles),Dissimilar,7,vacuum cleaner bags,"Mechanical components for power transmission in machines and engines, except for land vehicles",Disposable and reusable dust collection bags for vacuum cleaners
0046364-0001226,25,clothing,Identical,25,tracksuit tops,Garments and articles of dress for covering the human body,Clothing in the nature of tracksuit tops
0037696-0047583,9,wrist rests for use with computers,Low similar,9,computers,"Ergonomic wrist rests, being computer peripheral accessories","Electronic data processing apparatus, namely, computers"
0030502-0042066,3,cosmetics,Identical,3,lotions for cosmetic purposes,Non-medicated cosmetics for beauty and personal care,Non-medicated cosmetic lotions for skin care
GSCSup-0091381-0002609,37,home construction services,Identical,37,erecting of housing areas,Construction services for residential homes,Construction services for erecting housing areas
0042510-0046873,16,debit cards without magnetic coding,Dissimilar,36,finance services,Non-magnetic debit cards for financial transactions (as printed matter/stationery items),General financial services for money and asset management
0030237-0078171,9,salinometers,Identical,9,measuring devices,"Scientific measuring instruments, namely, salinometers, for determining the salt content of liquids",Scientific and technical measuring instruments and apparatus
0042510-0072815,16,debit cards without magnetic coding,Dissimilar,36,fund investment services,Non-magnetic debit cards for financial transactions (as printed matter/stationery items),Financial fund investment and management services
0004990-0031761,30,meat tenderizers for household purposes,Dissimilar,29,"fish, not live",Culinary preparations for tenderizing meat for household use,"Fish, not live, for human consumption"
0025798-0072748,18,leather for shoes,Dissimilar,12,audible warning systems for bicycles,Processed leather material intended for use in the manufacture of shoes,Audible warning systems for bicycles
0047744-0007773,9,"magnets, magnetizers and demagnetizers",Dissimilar,15,musical instruments,"Physical articles and apparatus, namely magnets, magnetizers, and demagnetizers",Physical musical instruments
0057177-0047441,36,fiscal valuation,Dissimilar,36,real estate affairs,Fiscal valuation services,"Services related to real property, namely, managing real estate affairs"
0013240-0030637,9,photographic apparatus and instruments,Dissimilar,9,surveying apparatus and instruments,Optical apparatus and instruments for photographic purposes,Scientific apparatus and instruments for surveying
0072755-0008342,13,guns [weapons],Dissimilar,13,"fuses for explosives, for use in mines",Firearms for use as weapons,Detonating fuses for use with explosives in mining operations.
0002328-0023723,10,suture materials,Dissimilar,5,dietetic substances adapted for medical use,"Medical and surgical articles, namely suture materials, for closing wounds",Dietetic preparations adapted for medical use
0025734-0047292,12,vehicles,Similar,12,automobile chassis,"Apparatus for locomotion by land, air, or water, for conveying people or goods",Structural base frame (chassis) for automobiles
0022650-0041069,9,diving equipment,Dissimilar,10,physical therapy equipment,Apparatus and instruments for facilitating underwater exploration and activity,Medical and therapeutic equipment for physical therapy
0036031-0059171,10,brushes for cleaning body cavities,Dissimilar,3,soap,"Medical instruments, namely, brushes for cleaning body cavities",Preparations in the nature of soap for cleaning and washing
0046364-0057908,25,clothing,Dissimilar,3,perfumes,Garments and articles of dress for covering the human body,"Fragrant liquid preparations, namely, perfumes"
0057778-0013258,41,teaching,Identical,41,adult education services relating to pharmacy,Educational services in the field of teaching,Adult education services relating to pharmacy
0046364-0079059,25,clothing,Identical,25,down garments,Garments and articles of dress for covering the human body,Clothing insulated with down
0012284-0018122,30,"flavourings, other than essential oils, for beverages",Dissimilar,30,yeast,Non-essential oil flavourings for use in beverages,Yeast for food purposes
0048108-0048104,9,teaching apparatus and instruments,Dissimilar,9,checking (supervision) apparatus and instruments,Educational apparatus and instruments for teaching,Scientific and technical apparatus and instruments for checking and supervision
0041872-0048161,40,rental of air-conditioning apparatus,Dissimilar,40,treatment and transformation of materials,Rental services for air-conditioning apparatus for air treatment purposes,Industrial services for the treatment and transformation of materials
0020128-0014935,7,"agricultural implements, other than hand-operated",Dissimilar,7,kick starters for motorcycles,Non-manual agricultural implements and machinery,Mechanical starting devices for motorcycle engines
0048103-0014924,9,measuring apparatus and instruments,Identical,9,distance measuring apparatus,Scientific and technical apparatus and instruments for measuring,Scientific apparatus for measuring distances
0030502-0040178,3,cosmetics,Identical,3,exfoliants,Non-medicated cosmetics for beauty and personal care,Non-medicated cosmetic exfoliant for removing dead skin cells and renewing skin texture
0059169-0036282,3,cakes of toilet soap,Dissimilar,10,pins for artificial teeth,Non-medicated solid toilet soap for personal cleansing and hygiene,Dental pins for securing artificial teeth
0057319-0002123,30,chewing gum,Dissimilar,34,chewing tobacco,Confectionery in the nature of chewing gum,Tobacco for chewing
0059490-0069502,43,services for providing food and drink,Identical,43,serving food and drink in internet cafes,"Hospitality services, namely, services for providing food and drink",Services for serving food and drink in Internet cafes
0047649-0025724,3,perfumery and fragrances,Dissimilar,21,cleaning articles,Chemical preparations for perfumery and fragrances for personal or ambient use,Household cleaning articles
0071841-0019402,5,pharmaceutical preparations,Low similar,44,provision of pharmaceutical information,Medicinal pharmaceutical preparations for human or veterinary use,Providing pharmaceutical information services
0044471-0046138,11,refining towers for distillation,Dissimilar,11,water supply installations,"Refining towers, being industrial apparatus for distillation processes",Apparatus and integrated systems for water supply
0002650-0059312,25,jackets [clothing],Identical,25,waterproof clothing,"Outerwear garments, namely jackets",Clothing designed to be waterproof
0030502-0041629,3,cosmetics,Identical,3,"bath preparations, not for medical purposes",Non-medicated cosmetics for beauty and personal care,Non-medicated chemical preparations for bath use
0014090-0040447,32,non-alcoholic beverages,High similar,32,beer,Potable liquids without alcoholic content,Alcoholic beer
0058143-0048106,9,life jackets,Identical,9,life-saving apparatus and instruments,Life-saving jackets for personal flotation,Safety and emergency apparatus and instruments for life-saving
0058590-0017402,18,vanity cases sold empty,Dissimilar,21,fitted vanity cases,Empty carrying cases for storing cosmetics and toiletries,Fitted vanity cases [containers] for toiletries and cosmetics
0071842-0030569,5,pharmaceuticals,Identical,5,medicinal herbs,Medicinal substances and drugs (pharmaceuticals),Medicinal herbs for pharmaceutical and therapeutic use
0009950-0020942,10,medical instruments,Similar,10,instrument cases for use by doctors,Medical instruments,Carrying cases specifically designed for holding and protecting medical instruments for use by doctors
0025630-0043128,38,data transmission,Identical,38,transmission of digital files,Data transmission services,Telecommunication services for the transmission of digital files
0046364-0057346,25,clothing,Identical,25,body warmers,Garments and articles of dress for covering the human body,Clothing articles for warming the body [body warmers]
0020128-0012144,7,"agricultural implements, other than hand-operated",Dissimilar,7,card clothing [parts of carding machines],Non-manual agricultural implements and machinery,"Card clothing, being parts of carding machines"
0059009-0071815,5,dental impression materials,Dissimilar,1,silicon,Preparations for making dental impressions,Chemical element silicon for industrial and scientific applications
0071960-0047898,11,fireplaces,Dissimilar,19,"statues and works of art made of materials such as stone, concrete and marble, included in the class",Fireplaces as installations for heating buildings,"Statues and works of art, not of metal, for use as architectural elements or monuments"
0017741-0044168,17,latex [rubber],Dissimilar,22,"padding materials, not of rubber, plastics, paper or cardboard","Unprocessed natural rubber, namely, latex","Padding, cushioning and stuffing materials, not of rubber, plastics, paper or cardboard"
0018703-0050674,6,metal hardware,Dissimilar,20,"containers, and closures and holders therefor, non-metallic",Small items of metal hardware,Non-metallic containers and closures and holders therefor
0058525-GSCSup-0023761,14,jewellery,Dissimilar,14,precious metals and their alloys,Decorative articles for personal adornment,Raw or semi-wrought precious metals and their alloys
0030502-0057134,3,cosmetics,Identical,3,after-shave preparations,Non-medicated cosmetics for beauty and personal care,Non-medicated cosmetic preparations for use after shaving
0073976-0072796,30,"food flavourings, other than essential oils",Dissimilar,30,molasses for food,Non-essential oil food flavourings,Molasses for human food consumption
0023767-0018122,29,butter,Dissimilar,30,yeast,Edible butter,Yeast for food purposes
0015268-0025946,3,shaving cream,Identical,3,toiletries,Non-medicated shaving cream for personal grooming,Non-medicated chemical preparations for personal hygiene and grooming
0021238-0057480,7,machine tools,Low similar,7,lubricators [parts of machines],"Industrial machinery, namely, machine tools",Lubricators [parts of machines]
0057778-0007117,41,teaching,Similar,16,histological sections for teaching purposes,Educational services in the field of teaching,Instructional and teaching materials in the nature of histological sections
0045063-0011715,3,non-slipping wax for floors,Dissimilar,3,ethereal oils,Chemical preparation in the nature of non-slipping wax for polishing floors,"Essential oils, also known as ethereal oils, for use in perfumery, cosmetics, and aromatherapy"
0058800-0036021,24,bed throws,Low similar,24,ramie fabric,Decorative textile throws for beds [household linen],Woven textile fabrics made of ramie
0042465-0077567,38,telecommunication services,Dissimilar,41,"providing online electronic publications, not downloadable",Services for transmitting and receiving information via telecommunication networks,"Services for providing online electronic publications, not downloadable"
0042465-0042454,38,telecommunication services,Similar,42,development of computer systems,Services for transmitting and receiving information via telecommunication networks,Development services for computer systems
0058237-0040118,24,bed linen,Similar,24,table covers,Textile bed linen,"Household linen, namely, table covers"
0058962-0004122,25,headgear,Dissimilar,35,office functions services,Articles of clothing for wearing on the head,Business administrative services for office functions
0076279-GSCSup-0095946,36,financial and monetary services,Identical,36,loan and credit,Financial and monetary services,Financial services for providing loans and credit
0046167-0041981,30,chocolate,Dissimilar,29,preserved vegetables,"Edible food product made from cacao, namely chocolate","Vegetables preserved by canning, freezing, drying or other methods for consumption"
0047693-0025724,7,"sweeping, cleaning, washing and laundering machines",Dissimilar,21,cleaning articles,"Power-operated machines for sweeping, cleaning, washing, and laundering purposes",Household cleaning articles
0012197-0057795,30,mixtures for making water ices,Dissimilar,30,ice for refreshment,Food mixtures for making water ices,Frozen water for refreshment
0057778-GSCSup-0112856,41,teaching,Identical,41,organisation of conferences,Educational services in the field of teaching,"Organisation of conferences (educational, training or cultural events)"
0011714-0058197,3,laundry soaking preparations,Dissimilar,3,dentifrices,"Chemical preparations for laundry use, namely, laundry soaking preparations","Non-medicated preparations, namely, dentifrices"
0030502-0027148,3,cosmetics,Low similar,8,manicure sets,Non-medicated cosmetics for beauty and personal care,Sets of hand-operated tools for performing nail care procedures on hands
0030502-0008242,3,cosmetics,Identical,3,sun-tanning oils,Non-medicated cosmetics for beauty and personal care,Non-medicated cosmetic oils for sun-tanning
0014354-0046096,7,transmission components (except for land vehicles),Dissimilar,7,drums [parts of machines],"Mechanical components for power transmission in machines and engines, except for land vehicles","Cylindrical machine components, namely drums, for industrial machinery"
0006297-0047982,31,beverages for pets,Dissimilar,31,trees and forestry products,Liquid foodstuffs in the nature of beverages for pets,"Live trees and raw, unprocessed forestry products for cultivation or as raw materials."
0012289-0070308,12,bicycles,Identical,12,electric bicycles,"Two-wheeled pedal-powered vehicles, namely, bicycles",Electric bicycles for land locomotion
0009856-0036690,44,human hygiene and beauty care,Identical,44,pedicurist services,"Personal care services for maintaining cleanliness, health, and aesthetic appearance for human beings",Pedicurist services
0011408-0035550,42,computer programming,Identical,42,computer system design,"Professional technological services, namely, computer programming for the design and development of software",Computer system design and development services
0041045-0047163,9,diesel injector testers,Dissimilar,11,heating apparatus,Testing apparatus for diesel fuel injectors,Apparatus for generating heat
0047515-0072422,29,frozen fruits,Dissimilar,30,seasonings,"Preserved food products, namely, frozen fruits",Food seasonings for enhancing flavor
0030502-0018816,3,cosmetics,Similar,5,medical preparations for slimming purposes,Non-medicated cosmetics for beauty and personal care,Pharmaceutical preparations for medical slimming purposes
0048144-0002847,11,apparatus for drying,Dissimilar,19,pitch and bitumen,Apparatus and installations for drying purposes,Resinous pitch and bitumen for sealing and coating non-metallic articles
0058857-0047746,9,spectacle frames,Dissimilar,9,apparatus and instruments for controlling electricity,Frames for spectacles and eyeglasses,Electrical apparatus and instruments for controlling electricity
0059256-0047026,29,meat,Dissimilar,30,tea,Edible animal flesh for human consumption,Dried tea leaves for making beverages
0015168-0046340,16,wrapping materials made of paper,Low similar,16,bookbinding material,Paper materials designed for wrapping and packaging purposes,Materials and components for the process of bookbinding
GSCSup-0119207-0002353,36,insurances,Similar,36,real estate lending services,Insurance services,Financial lending services secured by real estate
0035236-0030862,9,spectacle chains,Dissimilar,9,magnetic data media,Chains for holding spectacles,Blank magnetic data media for recording and storage
0047796-0048156,11,regulating and safety accessories for water and gas installations,Dissimilar,21,articles for animals,Accessories and apparatus for regulating and ensuring safety in water and gas installations,"Household utensils and grooming articles for animals, such as feeding bowls and brushes"
0058321-0047441,36,stock exchange quotations,Dissimilar,36,real estate affairs,"Stock exchange information services, namely, quotations","Services related to real property, namely, managing real estate affairs"
0047314-0059197,7,vending machines,Dissimilar,7,printing cylinders,"Automatic machines for dispensing products, namely, vending machines",Cylindrical machine parts for use in printing presses
0024767-0013151,30,rice-based snack food,Dissimilar,30,flour,Prepared edible snack food made primarily from rice,Milled grain flour for food preparation
GSCSup-0050126-GSCSup-0050186,3,cosmetic hand care products,Similar,3,hair clays,Non-medicated preparations for cosmetic hand care,"Non-medicated hair styling preparations, namely, hair clays"
0047385-0019051,44,medical services,Identical,44,consulting services relating to health care,"Professional healthcare services, namely, medical services",Consulting services relating to health care provision and management
0071943-0048103,9,fire extinguishers,Dissimilar,9,measuring apparatus and instruments,Portable fire extinguishers for suppressing small fires,Scientific and technical apparatus and instruments for measuring
0057077-0009585,1,chemicals for use in agriculture,Identical,1,ameliorants for the soil,Chemical substances for use in agriculture,Chemical and organic soil ameliorants for agricultural and horticultural use
0025934-0004141,30,powders for making ice cream,Dissimilar,29,frozen vegetables,Dry powdered food preparations used as an ingredient for making ice cream,Prepared and preserved frozen vegetables for food
0047744-0047789,9,"magnets, magnetizers and demagnetizers",Dissimilar,10,prosthetics and artificial implants,"Physical articles and apparatus, namely magnets, magnetizers, and demagnetizers",Artificial prosthetics and implants for medical and cosmetic purposes
0007836-0069054,41,entertainment services,Identical,41,entertainment by means of wireless television broadcasts,"Providing entertainment, amusement, and recreation services to the public.","Wireless television broadcast entertainment service, namely, delivering entertainment content via wireless television broadcasts"
0041045-0048144,9,diesel injector testers,Dissimilar,11,apparatus for drying,Testing apparatus for diesel fuel injectors,Apparatus and installations for drying purposes
0055328-0058391,3,eau de parfum,Dissimilar,3,sandpaper,"Concentrated liquid perfume preparation, specifically eau de parfum, for personal use",Abrasive paper for smoothing and finishing surfaces
0047742-0034507,9,recorded content,Identical,9,recorded discs bearing sound,Recorded and downloadable content in digital media format,Recorded audio discs
0059490-0069457,43,services for providing food and drink,Identical,43,providing food and drink in bistros,"Hospitality services, namely, services for providing food and drink",Restaurant services operating a bistro for the provision of food and drink
0046364-0044878,25,clothing,Identical,25,clothing of imitations of leather,Garments and articles of dress for covering the human body,Clothing made of imitation leather
0047737-0047829,9,"scientific research and laboratory apparatus, educational apparatus and simulators",Dissimilar,16,paper and cardboard,"Scientific research and laboratory apparatus, educational apparatus, and simulators (hardware and software)",Raw and semi-processed paper and cardboard materials
0030502-0026690,3,cosmetics,Identical,3,impregnated cloths for cosmetic use,Non-medicated cosmetics for beauty and personal care,Non-medicated cosmetic cloths impregnated with preparations for cleansing or treating skin
0046364-0002438,25,clothing,Identical,25,liveries,Garments and articles of dress for covering the human body,Clothing in the nature of liveries
0075508-0018727,14,key rings,Identical,14,key rings [split rings with trinket or decorative fob],Key rings of precious metals or ordinary metal as articles of jewelry,"Key rings, being split rings with a trinket or decorative fob, classified as jewelry"
0058670-0047441,36,insurance consultancy,Dissimilar,36,real estate affairs,Professional service for providing expert advice and guidance on insurance matters,"Services related to real property, namely, managing real estate affairs"
0012284-0059256,30,"flavourings, other than essential oils, for beverages",Dissimilar,29,meat,Non-essential oil flavourings for use in beverages,Edible animal flesh for human consumption
0008370-0072390,17,gutta-percha,Dissimilar,25,footwear,Gutta-percha for industrial purposes,Articles of footwear for covering and protecting the feet
0072368-0071792,22,nets,Dissimilar,24,textiles and substitutes for textiles,Meshed fabrics (nets) for various uses,"Woven, knitted, felted, or bonded textiles and materials mimicking textiles"
0007836-0030240,41,entertainment services,Similar,41,subtitling,"Providing entertainment, amusement, and recreation services to the public.",Subtitling services for audiovisual content
GSCSup-0084266-0052250,16,packing materials plastic,Dissimilar,16,handles made of plastics for paint brushes,"Plastic sheets, films, and bags for wrapping and packaging",Plastic handles for paintbrushes
0058632-0071306,39,travel arrangement,Identical,39,travel consultancy,Service for organizing and coordinating travel plans for individuals or groups,Professional travel consultancy services
0014692-0047733,9,refractors,Identical,9,"optical devices, enhancers and correctors","Optical apparatus for measuring refractive errors of the eye, namely, refractors",Physical optical apparatus and instruments for enhancing and correcting images
0012583-0023769,29,jellies for food,Dissimilar,29,meat extracts,Edible fruit jellies for food,Meat extracts for food
0024765-0077221,9,lighting ballasts,Identical,9,electrical and electronic components,"Electrical regulating devices, namely, lighting ballasts",Discrete electrical and electronic components for apparatus and instruments
0072771-0000475,24,fabrics,Identical,24,traced cloths for embroidery,Textile fabrics,Textile fabrics with pre-traced designs for hand embroidery
0014332-0022248,29,powdered milk,Dissimilar,30,rice,Dehydrated milk powder for food purposes,"Cereal grain, namely, rice"
0047734-0018825,9,"safety, security, protection and signalling devices",Dissimilar,16,filtering materials of paper,"Electronic and mechanical apparatus and instruments for safety, security, protection, and signalling",Paper filtering materials
0058849-0018641,9,software,Identical,9,data communications software,Downloadable and recorded computer software,Downloadable computer software for data communications
0025141-0031222,8,hand tools and implements [hand-operated],Similar,8,razor cases,Hand-operated tools and implements for manual tasks,Cases specifically designed for the storage and protection of razors
0047357-0058731,13,"detonating caps, other than toys",Similar,13,fireworks,"Small explosive devices for initiating larger explosives, not for use as toys","Pyrotechnic articles, namely, fireworks"
0008236-0030926,10,veterinary apparatus and instruments,Dissimilar,10,condoms,Apparatus and instruments specifically designed for veterinary medical and surgical purposes.,Articles for providing contraception and protection during sexual activity
0020536-0057417,3,non-medicated cosmetics,Identical,3,hair lotions,Non-medicated cosmetic preparations,Non-medicated hair lotions for cosmetic purposes
0036115-0071842,5,menthol,Identical,5,pharmaceuticals,Menthol for pharmaceutical preparations,Medicinal substances and drugs (pharmaceuticals)
0034518-0023359,29,poultry,Dissimilar,31,live animals,Edible poultry meat,"Live animals for rearing, breeding, or exhibiting as pets, livestock, or for zoological purposes"
0009379-0047746,21,make-up removing appliances,Dissimilar,9,apparatus and instruments for controlling electricity,Make-up removing pads and cloths [appliances],Electrical apparatus and instruments for controlling electricity
0041144-0001962,35,document reproduction,Similar,35,compilation and systemization of information into computer databases,Document reproduction services for business purposes,Business data compilation and systematization into computer databases services
0021238-0019594,7,machine tools,Dissimilar,7,glow plugs for diesel engines,"Industrial machinery, namely, machine tools",Electrical glow plugs for diesel engines
0009856-0071468,44,human hygiene and beauty care,Identical,44,cellulite treatment services,"Personal care services for maintaining cleanliness, health, and aesthetic appearance for human beings",Cellulite reduction treatment services for cosmetic purposes
0003653-0072796,29,aloe vera prepared for human consumption,Dissimilar,30,molasses for food,Prepared aloe vera for human consumption [foodstuff],Molasses for human food consumption
0071943-0048098,9,fire extinguishers,Dissimilar,9,apparatus and instruments for transforming electricity,Portable fire extinguishers for suppressing small fires,Electrical apparatus and instruments for transforming electricity
0037696-0001874,9,wrist rests for use with computers,Low similar,9,sound transmitting apparatus,"Ergonomic wrist rests, being computer peripheral accessories",Electronic audio devices for transmitting sound signals
