Original_Term,Nature,Purpose,Expanded_Name,Logic_Trace
Frameworks of metal,"Structural components, typically skeletal arrangements",Providing support and structure in construction or manufacturing,Metal frameworks for construction and structural support,"Class 6 includes ""metal materials for building and construction"". Frameworks of metal are structural components, often for building and construction, providing support. This aligns well with Class 6. Abstract concepts are not goods, and decorative frames for artwork are Class 20."
Harpoon guns [sports articles],Projectile weapons,Hunting or spearfishing as a sporting activity,Harpoon guns for use as sporting articles in spearfishing,"Class 28 explicitly lists ""sporting articles"". The term ""[sports articles]"" in the input confirms the context. Therefore, these are harpoon guns used for sports, such as spearfishing. Historical weapons are typically Class 13 and toys are also Class 28 but this specific term points to actual sporting equipment."
Picture frames,"Decorative borders, typically rigid","Enclosing and displaying pictures, photographs, or artwork",Picture frames for displaying artwork and photographs,"Class 20 explicitly lists ""picture frames"". This is a direct match for decorative borders for displaying photographs or artwork. Structural frames for billboards might be Class 6 (metal) or other construction classes, and digital frames are typically Class 9."
Real estate appraisal,Professional valuation services,Determining the market value of real property,Real estate appraisal services,"Class 36 explicitly covers ""real estate services"". Real estate appraisal is a fundamental service within the real estate industry, involving the professional valuation of property. Software (Class 9) or training (Class 41) are not applicable to the service itself."
Restaurant services,Food and beverage preparation and serving activities,Providing food and drinks for consumption on or off premises,Services for providing food and drink in a restaurant setting,"Class 43 explicitly includes ""Services for providing food and drink"". Restaurant services fit perfectly under this description. Food products are typically Class 29/30, and the building itself is not a service."
Tow bars,Mechanical coupling apparatus,Attaching and connecting a trailer or another vehicle to a towing vehicle for transport,Tow bars for vehicles,"Class 12 covers ""Vehicles; apparatus for locomotion by land, air or water"". Tow bars are components of vehicles, specifically designed to enable the towing function, thus directly relating to locomotion by land. Gymnastic equipment is Class 28."
Instalment loans,Financial services,Providing credit to individuals or entities repayable over a set period in regular payments,Financial services for providing instalment loans,"Class 36 clearly states ""Financial, monetary and banking services"". Instalment loans are a type of financial service provided by banks or other lenders. The legal contracts are part of legal services (Class 45) and software is Class 9, neither are the financial service itself."
Scouring solutions,Liquid chemical cleaning preparations,"Cleaning surfaces by removing stubborn dirt, grime, or stains, often with an abrasive action",Scouring solutions for cleaning purposes,"Class 3 explicitly lists ""cleaning, polishing, scouring and abrasive preparations"". Scouring solutions directly fall under this category as cleaning preparations for household or commercial use. Medicinal solutions are Class 5."
Shampoos,Non-medicated liquid or solid cleaning preparations,Cleansing and conditioning hair and scalps,Non-medicated shampoos for hair,"Class 3 includes ""non-medicated cosmetics and toiletry preparations"". Shampoos, in general, are toiletry preparations for hair cleaning. Medicated shampoos would be Class 5, and pet shampoos Class 3 but specific to animals."
Emergency warning lights,Electrical signalling apparatus emitting light,Alerting individuals to an emergency or hazardous situation,Electrical emergency warning lights for signalling,"Class 9 includes ""signalling, detecting, testing, inspecting, life-saving apparatus and instruments"". Emergency warning lights are signalling apparatus used to indicate danger or emergencies, thus falling under signaling and life-saving. General lights are Class 11."
Notelets,Small sheets or pads of paper,"Writing brief messages, notes, or correspondence",Small paper sheets or pads for writing notes,"Class 16 covers ""Paper and cardboard; printed matter; stationery and office requisites"". Notelets, being small paper pads or cards for writing, fit perfectly into the stationery category. Digital software is Class 9."
Spectacle chains,Small chains,Securing spectacles around the user's neck to prevent loss or damage,Chains for holding spectacles,"Class 9 includes ""optical apparatus and instruments"". While spectacle frames themselves are Class 9, accessories specifically for holding spectacles, like chains, are considered part of the larger category of goods associated with optical instruments, as they are specifically designed to be used with them. They are not merely decorative items (Class 26) but functional accessories for an optical instrument."
"Flexible hoses, not of metal","Cylindrical, pliable conduits made of non-metallic materials","Conveying liquids, gases, or other substances",Flexible hoses made of non-metallic materials for conveying fluids or gases,"Class 17 explicitly lists ""flexible pipes, tubes and hoses, not of metal"". This is a direct match. The ""not of metal"" specification is key as metal hoses are Class 6. Medical hoses might be Class 10."
Fuel economisers for motors and engines,Mechanical or electronic apparatus or components,Reducing fuel consumption or improving fuel efficiency in motors and engines,Fuel economisers for improving the efficiency of motors and engines,"Class 7 includes ""motors and engines, except for land vehicles"". Fuel economisers are apparatus or components designed to enhance the performance or efficiency of motors and engines. This fits within the scope of machine components for engines. Fuel additives are Class 1, and software is Class 9."
Oil-scrubbing apparatus,Industrial apparatus,"Removing oil impurities from gases or liquids, especially for ventilation or sanitary purposes",Apparatus for scrubbing oil from gases or liquids for ventilation and sanitary purposes,"Class 11 covers ""Apparatus and installations for lighting, heating, cooling, steam generating, cooking, drying, ventilating, water supply and sanitary purposes"". ""Scrubbing"" here refers to removing impurities (oil) from air or water, which relates to ""ventilating"" (for air purification) or ""sanitary purposes"" (for water treatment/purification). Industrial scale oil scrubbers often purify gases or water, aligning with ventilation or sanitary equipment. Cleaning surfaces would be Class 7 (machines) or Class 3 (preparations), and medical devices Class 10."
Packaging materials,"Sheets, films, and bags (made of paper, cardboard, or plastic)",Wrapping and packaging goods,"Paper, cardboard, and plastic sheets, films, and bags for wrapping and packaging","Class 16 explicitly mentions ""plastic sheets, films and bags for wrapping and packaging"" and generally covers ""Paper and cardboard"". This aligns with specific materials for wrapping and protecting goods, rather than the raw materials for manufacturing containers or a general concept."
Consultations relating to business advertising,Professional advisory services,Providing expert advice on business advertising strategies and execution,Professional advisory services relating to business advertising strategies and campaigns,"Class 35 covers ""Advertising"" and ""business management, organization and administration."" Consultations are advisory services, fitting within the scope of providing expert guidance on advertising strategies and execution for business management purposes, distinct from performing the advertising itself."
Dental apparatus and instruments,Specialized tools and equipment,"Performing dental examinations, treatments, and surgical procedures",Specialized apparatus and instruments for dental examinations and treatments,"Class 10 explicitly lists ""dental apparatus and instruments."" This refers to specialized tools and equipment specifically designed for use by dental professionals in examinations, treatments, and procedures, rather than general clinic equipment or materials."
Sacks for the transport and storage of materials in bulk,Large bags or containers,"Facilitating the transport and storage of loose, unpackaged materials",Large bags for the transport and storage of bulk materials,"Class 22 explicitly lists ""sacks for the transport and storage of materials in bulk."" This precisely matches the meaning of large containers designed for handling substantial quantities of loose materials, as opposed to small retail packaging or clothing."
Cheese,Dairy food product,Human consumption as a foodstuff,"Dairy food product, namely, cheese, for human consumption","Class 29 explicitly lists ""cheese"" as one of the ""milk, cheese, butter, yogurt and other milk products."" This unequivocally identifies it as a dairy food product intended for consumption."
Mustard,Food condiment,Enhancing the flavor of food and dishes,"Prepared food condiment, namely, mustard","Class 30 includes ""salt, seasonings, spices, preserved herbs; vinegar, sauces and other condiments."" Mustard fits precisely as a prepared food condiment for enhancing flavor, not the plant or the color."
"Fish, tinned",Preserved fish product,Human consumption as a ready-to-eat or easily prepared food,"Preserved fish, namely, tinned fish, for human consumption","Class 29 covers ""Meat, fish, poultry and game"" and mentions ""preserved, frozen, dried and cooked fruits and vegetables."" The term 'tinned' refers to a method of preservation (canning), indicating fish that has been processed and sealed in a tin for extended shelf life, as a food product."
Fish meal for human consumption,Finely ground processed fish,Providing a food ingredient or foodstuff for human consumption,"Processed fish, namely, fish meal, for human consumption","Class 29 includes ""Meat, fish, poultry and game"" and is explicitly for food products. The phrase ""for human consumption"" directly specifies its intended use, clearly indicating a processed fish product for human diet, not animal feed."
Glucose for culinary purposes,Sweetener or carbohydrate in syrup or powder form,Used as an ingredient in food preparation for culinary purposes,"Glucose in syrup or powder form, for culinary purposes","Class 30 covers food ingredients like ""sugar, honey, treacle"" and other preparations made from cereals. The phrase ""for culinary purposes"" limits its scope to food preparation, making it a food additive or ingredient, not medical or scientific-grade glucose."
Bidding quotation,Commercial business services,Providing formal price offers for goods or services in response to requests or tenders,"Business services, namely, preparing and providing bidding quotations","Class 35 encompasses ""business management, organization and administration; office functions."" In this context, 'bidding quotation' refers to the business service of formulating and providing formal price offers in commercial transactions, which is an administrative business function."
Rental of apartments,Real estate services,Providing temporary occupancy of residential units for a fee,"Real estate services, namely, rental of apartments","Class 36 explicitly covers ""real estate services."" The rental of apartments is a fundamental real estate service involving the leasing of residential properties."
Computer hardware,Physical electronic components and devices,Forming the operational infrastructure for computing and data processing,"Physical electronic components and devices for computing, namely, computer hardware","Class 9 specifically includes ""computers and computer peripheral devices"" and generally covers ""apparatus and instruments for recording, transmitting, reproducing or processing sound, images or data."" This confirms that 'computer hardware' refers to the physical electronic components that make up a computer system."
Hair waving preparations,Non-medicated chemical cosmetic preparations,Structuring hair into waves or curls for styling purposes,Non-medicated cosmetic chemical preparations for waving hair,"Class 3 includes ""Non-medicated cosmetics and toiletry preparations; perfumery, essential oils."" Hair waving preparations are clearly non-medicated chemical products specifically formulated for cosmetic hair styling to create waves or curls."
Design services,Professional creative and technical services,"Conceiving, planning, and developing specifications or aesthetics for products, systems, or environments",Professional services for the creation and development of designs,"Class 42 extensively lists ""Scientific and technological services and research and design relating thereto; industrial design services; design and development of computer hardware and software."" This directly confirms that 'design services' refers to professional services involving the creation and planning of designs."
Message delivery,Physical transport and distribution services,"Transmitting physical messages, documents, or small packages from one location to another",Courier and postal services for the physical delivery of messages and documents,"Class 39 covers ""Transport; packaging and storage of goods; travel arrangement."" In this context, 'message delivery' refers to the physical transportation and distribution of physical messages, documents, or small packages, aligning with courier or postal services, rather than electronic transmission."
Landing nets for anglers,"Sporting articles, specifically nets",Assisting anglers in safely retrieving caught fish from the water,"Sporting articles, namely, landing nets for use by anglers","Class 28 includes ""gymnastic and sporting articles."" Landing nets specifically designed for anglers are a type of sporting equipment used in recreational fishing."
"Cinematographic film, sensitized but not exposed",Unexposed photographic film,Recording images for cinematographic purposes when exposed to light,Unexposed and sensitized cinematographic film for recording images,"Class 1 covers ""Chemicals for use in industry, science and photography."" Sensitized but unexposed cinematographic film is a raw chemical product designed for photographic and cinematographic recording, fitting within this category as a chemical for photography."
Bleaching preparations,Chemical compounds or solutions,"Whitening, lightening, or removing colors from various materials, particularly in laundry or cleaning applications","Chemical preparations for bleaching, primarily for laundry and cleaning purposes","Class 3 explicitly lists ""bleaching preparations and other substances for laundry use; cleaning, polishing, scouring and abrasive preparations."" This context clearly indicates chemical preparations primarily for cleaning, whitening, and laundry applications."
Apparatus for locomotion by water,Vehicles and devices,Enabling movement and travel across or through water,Vehicles and apparatus for locomotion by water,"Class 12 explicitly states ""Vehicles; apparatus for locomotion by land, air or water."" This confirms that the term refers to vehicles or devices specifically designed to enable movement and travel across or through water."
"Side arms, other than firearms",Hand-held weapons,"Self-defense or combat, excluding projectile weapons","Hand-held weapons, namely, side arms other than firearms","Class 8 explicitly lists ""side arms, except firearms."" This directly corresponds to hand-held weapons such as swords, daggers, or knives, which are carried at the side and are not projectile weapons."
Games software,Downloadable or recorded computer programs,Providing interactive entertainment for users,Downloadable and recorded computer software for playing games,"Class 9 includes ""computer software"" and ""recorded and downloadable media."" Games software specifically refers to executable computer programs designed to provide interactive entertainment for users, in either recorded or downloadable format."
Instruction manuals in electronic format,Downloadable or recorded digital documents,"Providing detailed guidance and instructions on the use or operation of products, systems, or processes",Downloadable electronic instruction manuals,"Class 9 covers ""recorded and downloadable media"" and ""teaching apparatus and instruments."" Instruction manuals in electronic format are a type of downloadable or recorded digital document containing instructional content."
Milk products,Edible food substances,Human consumption as dairy-based foodstuffs,"Edible food substances derived from milk, namely, milk products","Class 29 explicitly lists ""milk, cheese, butter, yogurt and other milk products."" This confirms that the term refers to edible food substances that are derived from milk, intended for human consumption."
Concrete,Non-metallic building material,Used in construction for foundational and structural elements,"Non-metallic building material, namely, concrete","Class 19 covers ""Materials, not of metal, for building and construction."" Concrete is a fundamental non-metallic material specifically used in building and construction."
"Presentation of goods on communication media, for retail purposes",Commercial advertising and promotional services,Showcasing goods to potential customers via various communication channels to facilitate retail sales,"Advertising and promotional services, namely, presentation of goods on communication media for retail purposes","Class 35 explicitly includes ""Advertising."" The presentation of goods on communication media for retail purposes is a direct form of advertising or promotional service aimed at showcasing products to consumers to facilitate sales."
Drill chucks [parts of machines],Mechanical components for power-operated machines,Securing and holding drill bits or other cutting tools in drilling machines,"Mechanical components for power-operated machines, namely, drill chucks","Class 7 covers ""Machines, machine tools, power-operated tools."" Drill chucks are specific mechanical components that are an integral part of power-operated drilling machines, designed to hold bits or other tools, as indicated by '[parts of machines]'."
Brushes for cleaning body cavities,Medical instruments,Facilitating the hygienic cleaning of internal body cavities during medical procedures or examinations,"Medical instruments, namely, brushes for cleaning body cavities","Class 10 includes ""Surgical, medical, dental and veterinary apparatus and instruments."" Brushes specifically designed for cleaning internal body cavities are specialized medical instruments used in medical procedures or examinations."
Blood for medical purposes,Biological preparation,"Use in medical treatments, transfusions, diagnostics, or research","Biological preparation, namely, blood, for medical and diagnostic purposes","Class 5 covers ""Pharmaceuticals, medical and veterinary preparations."" Blood designated ""for medical purposes"" clearly refers to biological preparations used in medical treatments, transfusions, diagnostics, or research, aligning directly with this class."
Stickers [stationery],Adhesive paper or plastic labels,"Decorating, marking, or labeling for stationery or household purposes","Adhesive labels [stationery], made of paper or plastic","Class 16 includes ""stationery and office requisites"" and ""adhesives for stationery or household purposes."" The designation '[stationery]' explicitly clarifies that these are adhesive labels made of paper or plastic, used for decorating, marking, or labeling within stationery or household contexts."
Sliders for knitting machines,Mechanical components,Guiding and moving elements within knitting machines to form fabric,"Mechanical components for knitting machines, namely, sliders","Class 7 covers ""Machines, machine tools."" Sliders in this context are specialized mechanical components that are an integral part of knitting machines, designed to guide and move elements to form fabric, fitting squarely within machine parts."
"Filters for cleaning cooling air, for engines",Mechanical filter components,Cleaning cooling air for engines,Mechanical filters for cleaning cooling air in engines,"The Class 7 description explicitly mentions 'motors and engines' and 'machines'. This context confirms that 'Filters for cleaning cooling air, for engines' refers to mechanical devices designed for filtering air in engine systems. Software filters (Class 9) and simple household filters (various classes depending on material/purpose, e.g., 11 for water filters, 21 for coffee filters) are irrelevant to Class 7."
Rental of road sweeping machines,Machine rental service,Providing temporary use of road sweeping machines to others,Rental services for road sweeping machines,"The term 'Rental of' clearly indicates a service. Class 37 encompasses 'Construction services; installation and repair services,' which includes the rental of heavy machinery and equipment used in construction or maintenance activities like road sweeping. The machines themselves (Class 7) or selling them (Class 35 for retail, Class 7 for manufacture) are not the focus here."
Darning lasts,Hand-operated tools,Supporting fabric during darning for repair,Hand-operated darning lasts for fabric repair,"Class 26 includes 'pins and needles' and 'haberdashery'. Darning lasts are specific hand tools used in conjunction with needles and thread for repairing fabric, aligning with the haberdashery and sewing notions context of Class 26. The meaning related to duration (verb) and shoe lasts (Class 8 or 7 depending on type) are incorrect."
Board games,Physical game sets,Providing entertainment and recreational activity,Physical board games for entertainment,"Class 28 explicitly lists 'Games, toys and playthings'. Physical board games fit this description perfectly as a form of entertainment and plaything. Digital versions (Class 9) and corporate meetings (irrelevant) are not applicable."
Foodstuffs for poultry,Prepared animal feed,Providing nutrition for poultry,Prepared foodstuffs for feeding poultry,"Class 31 explicitly includes 'foodstuffs and beverages for animals'. 'Foodstuffs for poultry' directly refers to prepared animal feed for birds, matching the class description. Raw ingredients might also fall into Class 31, but the term 'foodstuffs' implies a ready-to-consume form. Food for human consumption from poultry would be Class 29."
"Pneumatic controls for machines, motors and engines",Mechanical control components,"Regulating or operating machines, motors, and engines using compressed air","Pneumatic control devices, being parts of machines, motors, and engines","Class 7 encompasses 'Machines, machine tools, power-operated tools; motors and engines'. Pneumatic controls that are specifically 'for machines, motors and engines' are integral parts or accessories that enable their operation or regulation, fitting directly within Class 7. Software controls (Class 9) and medical devices (Class 10) are incorrect."
Artificial flowers,Decorative floral ornaments,Providing aesthetic decoration,Artificial flowers for decorative purposes,Class 26's description explicitly lists 'artificial flowers'. This is a direct match for decorative items resembling natural flowers. Laboratory-grown flowers or naturally 'unnatural' flowers are not the intended meaning in this context.
Scouring substances,Chemical cleaning preparations,Vigorously cleaning and removing dirt or grime from surfaces,Chemical scouring preparations for cleaning purposes,"Class 3 specifically includes 'cleaning, polishing, scouring and abrasive preparations'. 'Scouring substances' fit perfectly as chemical cleaning preparations. Industrial abrasives might be Class 1 or Class 7 depending on their form and use, and geological processes are irrelevant."
"Door openers, electric",Electric-powered mechanical devices,Automatically opening and closing doors,Electric door opening mechanisms,"Class 7 covers 'Machines, machine tools, power-operated tools'. An 'electric door opener' is a power-operated machine or mechanism used for automation, fitting squarely within this class. Manual door hardware (Class 6 or 20) and tools for forced entry are not relevant."
Car shampoos,Liquid cleaning preparations,Washing and cleaning car exteriors,Liquid shampoo preparations for washing cars,"Class 3 includes 'cleaning, polishing, scouring and abrasive preparations' and 'non-medicated cosmetics and toiletry preparations'. Car shampoos are liquid cleaning preparations for vehicles, aligning with the general cleaning preparations aspect of Class 3. Shampoos for human hair are also Class 3, but the 'car' context specifies the intended use. A car brand is irrelevant."
Paper stationery,Paper products,"Writing, printing, and general office use",Paper-based stationery for writing and office use,"Class 16 explicitly lists 'Paper and cardboard' and 'stationery and office requisites'. 'Paper stationery' is a direct match, referring to various paper products used for communication and office functions. Software (Class 9) and retail services (Class 35) are not applicable."
Blood plasma,Biological preparation,"Medical and pharmaceutical uses, such as transfusions or drug manufacturing",Blood plasma for medical and pharmaceutical applications,"Class 5 includes 'Pharmaceuticals, medical and veterinary preparations'. Blood plasma, in this context, refers to the biological preparation used for medical treatments, transfusions, or as an ingredient in pharmaceuticals, fitting perfectly within Class 5. Plasma as a state of matter or an energy source is not relevant."
Cutlery,Hand-operated implements,Eating food,Hand-operated cutlery for eating,"Class 8 explicitly lists 'cutlery'. This refers to eating utensils like knives, forks, and spoons. Industrial cutting tools, depending on their nature, might also be Class 8 (hand-operated) or Class 7 (machine parts), but 'cutlery' alone in this context is standard for eating utensils. A cutting service would be Class 40."
Cushions,Padded articles,Providing comfort and support for seating or resting,Padded cushions for comfort and support,"Class 20 includes 'Furniture, mirrors, picture frames'. Cushions are commonly considered articles of furniture or decorative accessories used with furniture, providing comfort and support. Protective packaging (e.g., Class 16 for plastic film) or mechanical components (e.g., Class 7) are not the primary meaning here."
Leather and imitations of leather,Processed animal hides and synthetic substitutes,Use as raw material for manufacturing various goods,"Processed leather and synthetic imitations thereof, for manufacturing","Class 18 explicitly lists 'Leather and imitations of leather'. This refers to the material itself, whether natural or synthetic, used for manufacturing various goods. While Class 18 also covers some finished goods made of leather (like luggage or harnesses), the term itself denotes the material. Finished clothing (Class 25) is distinct."
Financial evaluation of standing timber,Financial appraisal service,Assessing the monetary value of standing timber,Financial evaluation services for assessing the value of standing timber,"The phrase 'Financial evaluation of' clearly indicates a service. Class 36 covers 'Financial, monetary and banking services; insurance services; real estate services'. Assessing the monetary value of assets like standing timber falls under financial appraisal and consulting services. The timber itself (Class 31) or a printed report (Class 16) are not services."
Bathing trunks,Garments,Wearing for swimming or bathing,Swimwear in the nature of bathing trunks,"Class 25 is dedicated to 'Clothing, footwear, headwear'. Bathing trunks are a type of garment specifically designed for swimming, fitting directly into the clothing category. Zoological references or containers are irrelevant."
Teaching materials [except apparatus],Non-electronic educational resources,Assisting in the process of instruction and learning,Non-electronic teaching materials for instructional purposes,"Class 16 includes 'instructional and teaching materials' and crucially clarifies '[except apparatus]'. This specifies non-electronic, typically printed, paper-based, or tangible (non-machine) materials used for education. Electronic apparatus would fall under Class 9. Educational services are Class 41."
Medicines for veterinary purposes,Pharmaceutical preparations,Treating or preventing diseases in animals,Pharmaceutical preparations for veterinary use,"Class 5 explicitly mentions 'Pharmaceuticals, medical and veterinary preparations'. Medicines intended 'for veterinary purposes' are directly covered by this description as pharmaceutical preparations for animal health. Veterinary instruments (Class 10) or food supplements (also Class 5, but distinct from 'medicines') are different categories."
Smoking herbs for medical purposes,Herbal preparations,Therapeutic use via smoking,Herbal preparations for smoking for medical purposes,"Class 5 includes 'Pharmaceuticals, medical and veterinary preparations' and 'dietetic food and substances adapted for medical or veterinary use'. The crucial phrase 'for medical purposes' places these herbs within Class 5, even if consumed via smoking. Culinary herbs (Class 30) and general tobacco products (Class 34) are distinct."
Publication of magazines,Publishing services,Disseminating information and entertainment through magazines,Publishing services for magazines,Class 41 covers 'Education; providing of training; entertainment; sporting and cultural activities'. The 'Publication of magazines' is a service that falls under providing entertainment and cultural information. The magazines themselves are products in Class 16. A pure printing service is Class 40.
Leather for harnesses,Processed animal hides,Used as a raw material for manufacturing harnesses,Processed leather material for the manufacture of harnesses,"Class 18 includes 'Leather and imitations of leather' as well as 'harness and saddlery'. 'Leather for harnesses' refers to the raw or semi-finished material explicitly designated for making harnesses. While finished harnesses are also in Class 18, the term here specifies the material. Leather for other uses (also Class 18, but more general) is not as specific."
Procurement services for others [purchasing goods and services for other businesses],Business administration service,Acquiring goods and services on behalf of other businesses,"Business procurement services, namely, purchasing goods and services for other businesses","Class 35 covers 'Advertising; business management, organization and administration; office functions'. Procurement services, specifically 'purchasing goods and services for other businesses', are a core business management and administration function. The goods/services themselves belong to their respective classes, and an internal department isn't a registrable service."
Actuarial services,Professional financial and statistical analysis service,"Assessing and managing financial risk, particularly for insurance and pensions",Professional actuarial services for financial risk assessment and management,"Class 36 specifically includes 'Financial, monetary and banking services; insurance services'. Actuarial services are professional financial and statistical analyses essential for calculating risks and premiums in the insurance sector, directly matching this class. Software (Class 9) and publications (Class 16) are not services."
Preparations for stiffening whipped cream,Food additives,Stabilizing and stiffening whipped cream,Food preparations for stiffening whipped cream,"Class 30 includes 'flour and preparations made from cereals; bread, pastries and confectionery; yeast, baking-powder; salt, seasonings, spices, preserved herbs; vinegar, sauces and other condiments'. Preparations for stiffening whipped cream are culinary food additives, similar to baking powder or gelling agents, fitting perfectly within the foodstuff preparations in Class 30. Industrial thickening agents (Class 1) or cosmetic preparations (Class 3) are incorrect."
Margarine,Edible fat product,Used as a spread or ingredient in food preparation,Edible margarine for food purposes,"Class 29 explicitly lists 'oils and fats for food'. Margarine is a widely known edible fat product used in cooking and as a spread, directly fitting this description. Non-edible substances or chemical reagents are irrelevant."
Wrist rests for use with computers,Ergonomic computer peripheral accessories,Providing support and comfort to wrists during computer use,"Ergonomic wrist rests, being computer peripheral accessories","Class 9 includes 'computers and computer peripheral devices'. Wrist rests specifically designed 'for use with computers' are considered computer accessories that enhance ergonomics, thus falling into Class 9. Medical devices (Class 10) and watch components (Class 14) are not applicable."
"Monuments, not of metal",Non-metallic structural memorials,Commemorating persons or events,Non-metallic monuments for commemorative purposes,"Class 19 explicitly lists 'monuments, not of metal'. This refers to commemorative structures constructed from non-metallic materials. While historical landmarks can be monuments, the term here is for the physical object itself. Metallic statues would be classified elsewhere (e.g., Class 6 or 14)."
Life insurance,Insurance service,Providing financial protection and benefits upon the death of the insured,Life insurance underwriting services,"Class 36 explicitly lists 'Financial, monetary and banking services; insurance services'. Life insurance is a direct and primary example of an insurance service. Financial advice is also Class 36, but 'life insurance' is more specific. Life-saving apparatus (Class 9 or 10) is entirely different."
Pressure regulators [parts of machines],Mechanical components,Controlling and maintaining fluid pressure within machines,"Pressure regulators, being parts of machines","Class 7 covers 'Machines, machine tools, power-operated tools; motors and engines'. The clarifying phrase '[parts of machines]' is critical, indicating that these pressure regulators are components integrated into machines, fitting directly into Class 7. Standalone measuring gauges (Class 9) and software (Class 9) are distinct."
Controlling software for computer printers,Downloadable computer software,Managing and operating computer printers,Downloadable computer software for controlling computer printers,"The class description explicitly mentions ""computer software."" All brainstormed meanings align with software for computer printers, which is consistent with Class 9."
Management advisory services related to franchising,Professional consulting services,Providing advice and guidance on franchising,Professional management advisory services relating to franchising,"The class description includes ""business management, organization and administration."" The provided term directly describes a type of professional service that falls under business management and administration in Class 35."
"Door closers, electric",Electrically-operated mechanical devices,Automatically closing doors,Electrically-operated mechanical devices for automatically closing doors,"Class 7 covers ""Machines, machine tools, power-operated tools; motors and engines..."". An electric door closer is a power-operated mechanical device, which aligns with the scope of this class."
Electric devices for attracting and killing insects,Electrical household appliances,Attracting and killing insects,Electric household appliances for attracting and killing insects,"Class 21 includes ""Household or kitchen utensils and containers."" Electric devices for attracting and killing insects, commonly known as bug zappers, are considered household utensils or appliances, fitting within this class."
Computer documentation in electronic form,Downloadable electronic files,Providing documentation and information relating to computers,Downloadable electronic files containing documentation relating to computers,"Class 9 mentions ""recorded and downloadable media"" and ""computer software."" Computer documentation in electronic form falls under recorded or downloadable media containing data, which is consistent with this class."
Casualwear,Articles of clothing,Being worn for informal or everyday occasions,Articles of casual clothing,"Class 25 explicitly states ""Clothing, footwear, headwear."" Casualwear is a direct category of clothing, fitting perfectly within this class."
Dance hall services,Entertainment services,Providing facilities and activities for dancing,Entertainment services in the nature of operating dance halls,"Class 41 includes ""entertainment; sporting and cultural activities."" Dance hall services are a clear form of entertainment and cultural activity, directly aligning with this class."
Hire-purchase financing,Financial services,Providing financing for hire-purchase agreements,Financial services relating to hire-purchase,"Class 36 covers ""Financial, monetary and banking services."" Hire-purchase financing is a specific type of financial service, thus fitting directly into this class."
Bags specially adapted for sports equipment,Carrying bags,Being specially adapted for carrying sports equipment,Carrying bags specially adapted for sports equipment,"Class 28 includes ""gymnastic and sporting articles."" Bags specially adapted for sports equipment are considered accessories for sporting articles, which are classified in this class."
Frozen meat,Edible meat products,Being preserved by freezing for consumption,Edible meat products that are frozen,"Class 29 explicitly lists ""Meat, fish, poultry and game"" and mentions ""preserved, frozen, dried and cooked fruits and vegetables."" Frozen meat directly aligns with the 'meat' category and the concept of 'frozen' food within this class."
Rinsing aids for use when washing clothes,Chemical preparations,Assisting the rinsing process when washing clothes,Chemical preparations in the nature of rinsing aids for use when washing clothes,"Class 3 includes ""bleaching preparations and other substances for laundry use; cleaning, polishing, scouring and abrasive preparations."" Rinsing aids are substances for laundry use, fitting well within this class."
Waters,Non-alcoholic beverages,Being consumed as a drink,"Non-alcoholic beverages, namely, waters","Class 32 explicitly lists ""mineral and aerated waters"" and ""non-alcoholic beverages."" 'Waters' in this context refers to beverages and fits perfectly within this class."
Ski sticks,Sporting articles,Being used as poles for skiing,"Sporting articles, namely, ski sticks","Class 28 includes ""gymnastic and sporting articles."" Ski sticks are a common and essential type of sporting article for skiing, fitting perfectly within this class."
Curtains of plastic,Household articles,Covering windows or openings and made of plastic,"Household articles, namely, curtains made of plastic","Class 24 explicitly states ""curtains of textile or plastic."" The term directly matches the classification description for this class."
Contact lenses,Optical apparatus,Correcting vision or for cosmetic use by being worn on the eye,"Optical apparatus, namely, contact lenses","Class 9 includes ""optical apparatus and instruments."" Contact lenses are optical devices used for vision correction or cosmetic purposes, fitting squarely within this category."
Key cases made of leather,Small carrying cases,"Holding and organizing keys, made of leather",Small carrying cases made of leather for holding keys,"Class 18 covers ""Leather and imitations of leather; luggage and carrying bags."" A key case made of leather is a type of small carrying case, consistent with this class."
Aromatic sand [litter] for pets,Absorbent granular material,"Being used as pet litter, having an aromatic property",Aromatic granular material for use as pet litter,"Class 31 includes ""foodstuffs and beverages for animals."" While not food, pet litter is an essential animal care product commonly classified within this class, similar to other non-food preparations for animals."
Pump diaphragms,Mechanical components,Forming a flexible membrane within a pump,"Mechanical components, namely, diaphragms for pumps","Class 7 covers ""Machines, machine tools, power-operated tools... machine coupling and transmission components."" Pump diaphragms are components of pumps, which are machines, thus aligning with this class."
Wine glasses,Articles of glassware,Serving and drinking wine,"Articles of glassware, namely, wine glasses","Class 21 explicitly lists ""glassware, porcelain and earthenware"" and ""tableware."" Wine glasses are a direct example of glassware and tableware, fitting perfectly within this class."
Aluminium,Common metal,Being used as a raw material or in various metallic forms,Aluminium in raw or semi-worked form,"Class 6 begins with ""Common metals and their alloys, ores."" Aluminium is a common metal, fitting directly into this category."
Umbrella rings,Component parts for umbrellas,Functioning as rings within the structure of an umbrella,"Component parts for umbrellas, namely, umbrella rings","Class 18 includes ""umbrellas and parasols."" Umbrella rings are component parts of umbrellas and are therefore classified with the main item in this class."
